answer,pack,dncahPack
a big fat shit,Skewered And Roasted,CAH & Expansions
A big glass of wine.,Babies vs. Parents,Parenthood
A big hole.,CAH Absurd Box Expansion,CAH & Expansions
A big hoopla about nothing.,CAH Base Set,CAH & Expansions
A big hot fire that's burning everybody.,CAH Absurd Box Expansion,CAH & Expansions
A Big Mouth Billy Bass that just screams.,CAH Everything Box Expanion,CAH & Expansions
A big night in Greymouth with Hopeful Christian,Kiwis Versus Morality,New Zealand
A big ol’ plate of fettuccini alfredo.,CAH Green Box Expansion,CAH & Expansions
A big one on the turps,Kiwis Against Morality,New Zealand
A big sad dragon with no friends.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A big-ass knife,The Game Without Decency,CAH & Expansions
"A big, and I mean BIG turle.",CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
"A big, beautiful mouth packed to the brim with sparkling white teeth.",CAH Green Box Expansion,CAH & Expansions
"A big, big, big, and I mean BIG big.",CAH Absurd Box Expansion,CAH & Expansions
"A big, fat, hairy, homosexual man.","Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
"A big, red wet-looking zit on your nose.",Not Parent Approved,Kids
"A big, sloppy blowjob from a mean, tired cowboy.",CAH Absurd Box Expansion,CAH & Expansions
A bigger bang for your buck.,"Guards Against Insanity, Edition 3",CAH & Expansions
"A bigger, blacker dick.",CAH Red Box Expansion,CAH & Expansions
"A bigger, blacker knitting bag.",Knitters Against Swatches First Edition,Knitting
A billion different uniforms and accessories.,Disgruntled Decks: Navy Edition,Military
A bingo hall brawl.,Carps & Angsty Manatee - Texas Edition,Texas
A bird funeral.,CAH Everything Box Expanion,CAH & Expansions
A bird pooping on the president's head.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A bird that dies.,CAH Absurd Box Expansion,CAH & Expansions
A bird that shits human turds.,CAH Base Set,CAH & Expansions
a bird's nest in its crotch,Dick,CAH & Expansions
A birther lawsuit., 2016 Election Game ,Elections & Donald Trump
A bit o' the ol' slap and tickle.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
A bit of a dag,Kiwis Against Morality,New Zealand
A bit of a tarantula problem.,CAH Everything Box Expanion,CAH & Expansions
A bit of slap and tickle.,CAH Base Set,CAH & Expansions
a bitch slap,Skewered And Roasted,CAH & Expansions
A bitch slap.,CAH Base Set,CAH & Expansions
"A bitch-slap for that bitch, Susan","Clams Attempt Harmonica, Volume 1",CAH & Expansions
A bitchin' Camaro.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
A Bitchplosion,Personally Incorrect - Expansion 2 [Yellow Box],Personal
"A bitchy, stuck-up officer's wife.",Charlie Foxtrot,Military
A bizarre love octagon.,Cads About Matrimony,Matrimony
A bizarre partnership with Cards Against Humanity.,CAH Jack White Show Pack,Jack White
A black fly in your chardonnay.,Crabs Adjust Humidity: Volume 3,CAH & Expansions
A black friend.,CAH Green Box Expansion,CAH & Expansions
A black guy in a white neighborhood.,"Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
A black hole,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
A black hole.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A Black Lives Matter protestor.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
"A black male in his early 20s, last seen wearing a hoodie.",CAH Third Expansion,CAH & Expansions
A black man in a cowboy hat.,Humanity Hates Trump: Base Set,Elections & Donald Trump
A black-owned and operated business.,CAH Red Box Expansion,CAH & Expansions
"A black, mushy banana",The Game Without Decency,CAH & Expansions
"a black!
and crazy!",Dick,CAH & Expansions
A blanket with a hole in it.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
a blatant act of kindness,Skewered And Roasted,CAH & Expansions
A bleached arsehole.,CAH Base Set,CAH & Expansions
A bleached asshole.,CAH Base Set,CAH & Expansions
A bleached asshole.,Cards Against/For South Africa,South Africa
A bleeding asshole.,"Guards Against Insanity, Edition 3",CAH & Expansions
A blimp advertising hair regrowth,Cards Against Profanity,CAH & Expansions
A blind kid throwing hand grenades.,WTF Did You Say?!?,CAH & Expansions
A blind lip reader,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
"A blind, quadriplegic AIDS survivor with face cancer and diarrhea.",CAH Hidden Compartment Pack,CAH & Expansions
A blinged out consecration bracelet.,The Catholic Card Game: Base Deck,Catholic
A bloated corpse with a great tan.,Disgruntled Decks: Army Edition,Military
A block of cheese wearing sunglasses.,Not Parent Approved Expansion Pack #1,Kids
A block of government cheese,The Game Without Decency,CAH & Expansions
"A blood transfusion from a teen with at least 10,000 Instagram followers.",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Elections & Donald Trump
A blood-soaked onesie,The Game Without Decency,CAH & Expansions
A bloodthirsty Arab.,Cats Abiding Horribly: Episode II - A New Low,CAH & Expansions
a bloody battle in Affghanistan,Dick,CAH & Expansions
A bloody creature popping through your sternum Alien style,Cads About Maternity - A game for bad mommies,Parenthood
A bloody heap of Trump steaks.,Humanity Hates Trump: Base Set,Elections & Donald Trump
A bloody pacifier.,CAH Fifth Expansion,CAH & Expansions
"A blow job from Shark Girl, with teeth.",Blurbs Against Buffalo,Buffalo
A blow job whilst driving,Depravity,Depravity
"A blow-up sex doll that really likes you, but just wants to be friends.",Words Against Morality: Volume 2,CAH & Expansions
a blowjob so powerful that you black out from low oxygen in your brain,Evil Apples,CAH & Expansions
A blue powerade for the morning after,Kiwis Against Morality,New Zealand
A blue waffle.,Crabs Adjust Humidity: Volume 6,CAH & Expansions
a blumpkin,Evil Apples,CAH & Expansions
A blumpkin.,Cards and Punishment Vol. Two,CAH & Expansions
A Boatswain's punch.,Disgruntled Decks: Navy Edition,Military
a bobble head,Skewered And Roasted,CAH & Expansions
"a boil,
a plague-sore,
an embossed carbuncle",Bards Dispense Profanity,CAH & Expansions
A bold red lip.,CAH Absurd Box Expansion,CAH & Expansions
A BOLO list identifying 45 white Toyota® pickup trucks.,Disgruntled Decks: Army Edition,Military
"a bolt of nothing, shot at nothing",Bards Dispense Profanity,CAH & Expansions
A bomb that will go off at any second.,"Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
A bombshell,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
A bond stronger than the bromance between Seth Rogan and James Franco.,Cards and Punishment Vol. Two,CAH & Expansions
A boner in tight pants.,Clones Attack Hilarity #1,CAH & Expansions
A bong rip so massive it restores justice to the kingdom.,CAH Weed Pack,CAH & Expansions
A boo-boo.,CAH Red Box Expansion,CAH & Expansions
A boomtown whore.,Carps & Angsty Manatee - Texas Edition,Texas
A bootpack filled with stupid ass boot stuff.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
A booty call,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
A Bop It™.,CAH Base Set,CAH & Expansions
A boring educational video game,The Game Without Decency,CAH & Expansions
a boring fuck who should go away,Skewered And Roasted,CAH & Expansions
a bosom friend,Dick,CAH & Expansions
A botched boob job,Depravity,Depravity
a botched Botox injection,Skewered And Roasted,CAH & Expansions
A botched circumcision.,CAH Red Box Expansion,CAH & Expansions
A botched genital piercing.,Cads About Matrimony,Matrimony
A bottle of fine wine,KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
A Bottle of Fine Wine,Personally Incorrect - Expansion [Red Box],Personal
A bottle of Frank's® RedHot® Sauce emptied into the urethra.,Blurbs Against Buffalo,Buffalo
A bottle of orphan tears.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
A bottom feeder.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
A bottomless pit of need,JadedAid: A Card Game to Save Humanitarians,Humanitarian
A bowl cut,Cards Against Profanity,CAH & Expansions
A bowl of candy.,WTF Did You Say?!?,CAH & Expansions
A bowl of gourds.,CAH Sixth Expansion,CAH & Expansions
A bowl of mayonnaise and human teeth.,CAH Base Set,CAH & Expansions
A bowl of primordial soup.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
A bowl of worm soup,Kids Create Absurdity,Kids
A box filled with horse shit.,Words Against Morality: Volume 2,CAH & Expansions
A box full of razor blades and sleeping pills form your Secret Service.,Humanity Hates Trump: Base Set,Elections & Donald Trump
"A box of biscuits, a box of mixed biscuits, and a biscuit mixer.",CAH Box Expansion,CAH & Expansions
A box of magic dice.,Hilarious!,CAH & Expansions
"A box of nude pictures of your girlfriend, from your best friend.",Humanity Hates The Holidays,Holidays
A box that is conscious and wishes it weren't a box.,CAH Box Expansion,CAH & Expansions
A box with magazines containing strong pornography.,"Crows Adopt Vulgarity, Vol. 3",CAH & Expansions
A box within a box.,CAH Box Expansion,CAH & Expansions
"A box without hinges, key, or lid, yet golden treasure inside is hid.",CAH Box Expansion,CAH & Expansions
A box-shaped man.,CAH Box Expansion,CAH & Expansions
A box.,CAH Box Expansion,CAH & Expansions
A boxing match with a giant box.,CAH Box Expansion,CAH & Expansions
A boy band member ten years past his prime,The Game Without Decency,CAH & Expansions
A Boy Scouts' camping trip gone wrong,Cards Against Profanity,CAH & Expansions
A boy.,Fun in the Oven,CAH & Expansions
A Bradley Fighting Vehicle slowly crushing a donkey cart.,Disgruntled Decks: Army Edition,Military
a braggart,Skewered And Roasted,CAH & Expansions
A braille vajazzling.,Crabs Adjust Humidity: Volume 3,CAH & Expansions
a brain aneurysm,Evil Apples,CAH & Expansions
A brain tumor.,CAH Base Set,CAH & Expansions
A brain tumor.,Cards Against/For South Africa,South Africa
A brain tumour.,CAH Base Set,CAH & Expansions
A Brat.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
A Brazilian Wax,Personally Incorrect,Personal
A break in service.,Disgruntled Decks: Air Force Edition,Military
A breakfast sausage with serious emotional problems.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
A breast pump,The Game Without Decency,CAH & Expansions
A breast pump.,Babies vs. Parents,Parenthood
A breast pump.,Fun in the Oven,CAH & Expansions
A breath of fresh air,Cards Against Profanity,CAH & Expansions
A broken condom,KinderPerfect (Commercial Set),Parenthood
A broken condom.,Fun in the Oven,CAH & Expansions
"A broken heart, an empty wallet, and a bouquet of chlamydia.",Voter's Choice: The Second Expansion,CAH & Expansions
A broken hymen,Depravity,Depravity
A broken hymen.,"Guards Against Insanity, Edition 3",CAH & Expansions
A broken Xbox®.,Not Parent Approved,Kids
a bromance,Skewered And Roasted,CAH & Expansions
A bromance that took a gay turn.,Cows Against Hamburgers - Patty Pack #1,CAH & Expansions
A bronze-tinted silver spoon.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
A brothel Madame,Depravity,Depravity
A brother from another mother,Cards Against Profanity,CAH & Expansions
A brother from another mother.,Clones Attack Hilarity #1,CAH & Expansions
a brown noser,Skewered And Roasted,CAH & Expansions
A brown stinking turd cutter.,Pigs Against Profanity: Volume 3,CAH & Expansions
A bruised cucumber,The Game Without Decency,CAH & Expansions
a bucket of 5-alarm ghost pepper hot wings,Evil Apples,CAH & Expansions
A bucket of dicks.,Crabs Adjust Humidity: Volume 5,CAH & Expansions
A bucket of fish heads.,CAH Base Set,CAH & Expansions
A bucket of fishy tampons stuffed inside your rackmate's pillowcase.,Disgruntled Decks: Navy Edition,Military
A bucket of ham.,Carps & Angsty Manatee - Volume 2,CAH & Expansions
A bucket of hand sanitizer.,Babies vs. Parents,Parenthood
A bucket of prop wash.,Disgruntled Decks: Air Force Edition,Military
a bucket of puke and sweat,Evil Apples,CAH & Expansions
A bukaki party.,Cakes Athirst Hilarity Volume 3,CAH & Expansions
A bulging camel toe,Depravity,Depravity
A bulging merit badge,Cards Against Profanity,CAH & Expansions
A bulging vein in your asshole.,"Guards Against Insanity, Edition 4",CAH & Expansions
A bulimic actress,The Game Without Decency,CAH & Expansions
A bull dyke in a china shop.,Crabs Adjust Humidity: Volume 7,CAH & Expansions
A bulldog eating mayonnaise.,Crabs Adjust Humidity: Volume 7,CAH & Expansions
A bum's asshole.,Cakes Athirst Hilarity Volume 3,CAH & Expansions
A bun in the oven,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
A bun in the oven.,Fun in the Oven,CAH & Expansions
A bunch of dead squirrels on a trampoline.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A bunch of fucking POGs acting like a bunch of fucking POGs.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
A bunch of honking honkers.,Carps & Angsty Manatee - Volume 2,CAH & Expansions
A bunch of idiots playing a card game instead of interacting like normal humans.,CAH Blue Box Expansion,CAH & Expansions
A bunch of naked bridesmaids.,Cads About Matrimony Poly Pack,Matrimony
"A bunch of snot-nosed, know-it-all twentysomethings.",Crabs Adjust Humidity: Volume 3,CAH & Expansions
A bunch of stupid pilots doing stupid pilot shit.,Disgruntled Decks: Navy Edition,Military
A bunch of weeaboos buying Nature Valley bars.,CAH PAX Prime 2014 Custom Printed Cards,CAH & Expansions
A bunker fart that is way louder than expected.,Charlie Foxtrot,Military
A burkini.,Crabs Adjust Humidity: Volume 7,CAH & Expansions
A burly wookie's camel toe sweat stain.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
A Burmese tiger pit.,CAH Red Box Expansion,CAH & Expansions
A burning orphanage.,Cakes Athirst Hilarity Volume 2,CAH & Expansions
A burning sensation in an awkward place,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
A burning sensation.,Crabs Adjust Humidity: Volume 4,CAH & Expansions
A burrito that’s just sour cream.,CAH Green Box Expansion,CAH & Expansions
A bus that will explode if it goes under 50 miles per hour.,CAH 90s Nostalgia Pack,CAH & Expansions
A bushel of pubes.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
A busload of racist frat boys from Oklahoma.,"Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
A bust of some guy who might be Frederick T. Douglass.,Trumped UpCards: Alternative Facts Expansion Pack,Elections & Donald Trump
A busty toddler.,Cards With No Sexuality,CAH & Expansions
a butchering sort of business,Dick,CAH & Expansions
a butt enlargement injection,Skewered And Roasted,CAH & Expansions
A butt pirate,The Game Without Decency,CAH & Expansions
a butt plug,Skewered And Roasted,CAH & Expansions
A butt that eats underwear.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
A butt-cheek implant,The Game Without Decency,CAH & Expansions
A butt-plug in the shape of a rolled-up copy of the U.S. Constitution.,Crabs Adjust Humidity: Volume 3,CAH & Expansions
A butter face.,Clones Attack Hilarity #1,CAH & Expansions
a butter-woman's mouth,Bards Dispense Profanity,CAH & Expansions
A butterface.,Cats Abiding Horribly: Episode II - A New Low,CAH & Expansions
a butterless man,Dick,CAH & Expansions
a buttery nipple,Skewered And Roasted,CAH & Expansions
A butthole full of mustard.,Cads About Matrimony,Matrimony
A buttload of candy.,CAH Blue Box Expansion,CAH & Expansions
"A button that when you press it, there's jazz.",CAH Absurd Box Expansion,CAH & Expansions
A buttplug in the shape of Donald Trump.,Carps & Angsty Manatee - Volume 1,CAH & Expansions
a buzzkill,Skewered And Roasted,CAH & Expansions
a cackling maniac on a unicycle,Evil Apples,CAH & Expansions
A cactus,Cards for the Masses,CAH & Expansions
A cage fight with Nicolas Cage.,Crabs Adjust Humidity: Volume 3,CAH & Expansions
A cage filled with hairless guinea pigs.,Not Parent Approved,Kids
